"No","Date","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","sp500"
"185","2014-12-23",48.45,55.47,112.54,530.59,94.59,227630,151.75,80.61,104.28,306.285,25.88,2082.169922
"186","2014-12-24",48.14,55.34,112.01,528.77,93.78,226515,151.54,80.77,104.59,303.03,25.83,2081.879883
"187","2014-12-26",47.88,55.28,113.99,534.03,93.21,226500,151.35,80.775,105.06,309.09,25.78,2088.77002
"188","2014-12-30",47.02,55.42,112.52,530.42,93.02,228255,152.09,79.22,105.36,310.3,25.57,2080.350098
"189","2014-12-31",46.45,54.82,110.38,526.4,92.45,226000,150.15,78.02,104.57,310.35,25.27,2058.899902
"190","2015-01-02",46.76,54.7,109.33,524.81,92.83,223600,149.17,78.45,104.52,308.52,25.06,2058.199951
"191","2015-01-05",46.325,53.2,106.25,513.87,90.29,220980,147,77.19,103.79,302.19,24.6,2020.579956
"192","2015-01-06",45.65,52.09,106.26,501.96,89.81,220450,146.84,76.15,103.28,295.29,24.07,2002.609985
"193","2015-01-08",47.59,53.56,111.89,502.68,92.23,226680,151.37,78.175,106.39,300.46,24.37,2062.139893
"194","2015-01-12",46.6,52.05,109.25,492.55,90.33,222424,148.28,76.72,104.58,291.41,23.98,2028.26001
"195","2015-01-13",46.355,51.85,110.22,496.18,90,223000,148.63,76.45,104.76,294.74,23.86,2023.030029
"196","2015-01-14",45.955,51.25,109.8,500.87,89.74,221878,147.82,76.28,104,293.27,23.78,2011.27002
"197","2015-01-15",45.48,50.72,106.82,501.79,88.96,214748.3647,147.58,74.05,102.49,286.95,23.58,1992.670044
"198","2015-01-20",46.39,52,108.72,506.9,91.09,214748.3647,148.63,76.24,101.29,289.44,23.85,2022.550049
"199","2015-01-21",45.92,52.1,109.55,518.04,91.87,214748.3647,147.18,76.74,101.9,297.25,24.04,2032.119995
"200","2015-01-22",47.13,53.77,112.4,534.39,92.87,224915,150.15,77.65,103.76,310.32,24.28,2063.149902
"201","2015-01-23",47.18,53.26,112.98,539.95,90.89,223751,149.12,77.83,102.2,312.39,24.48,2051.820068
